This document is a Work In Progress and it will be inteded for the following purposes:

- to list and explain the differences between the WDC65C02 and the 65802/65816.

opcode   mnemonic         65C02 bytes   65C02 cycles   65816 bytes   65816 cycles
------   --------         ------------  ------------   -----------   ------------
00       BRK              2             7              2             7/8
01       ORA ($nn,X)      2             6              2             6/7/8
*02*     COP #$nn         n/a           n/a            2             7/8
*03*     ORA $ss,S        n/a           n/a            2             4/5
04       TSB $nn          2             5              2             5/6/7/8
05       ORA $nn          2             3              2             3/4/5
06       ASL $nn          2             5              2             5/6/7/8
*07*     ORA [$nn]        n/a           n/a            2             6/7/8
08       PHP              1             3              1             3
09       ORA #$xxnn       2             2              2/3           2/3
0A       ASL A            1             2              1             2
*0B*     PHD              n/a           n/a            1             4
0C       TSB $nnnn        3             6              3             6/8
0D       ORA $nnnn        3             4              3             4/5
0E       ASL $nnnn        3             6              3             6/8
*0F*     ORA $nnnnnn      n/a           n/a            4             5/6
10       BPL $nnnn        2             2/3/4          2             2/3/4
11       ORA ($nn),Y      2             5/6            2             5/6/7/8
12       ORA ($nn)        2             5              2             5/6/7
*13*     ORA ($ss,S),Y    n/a           n/a            2             7/8
14       TRB $nn          2             5              2             5/6/7/8
15       ORA $nn,X        2             4              2             4/5/6
16       ASL $nn,X        2             6              2             6/7/8/9
*17*     ORA [$nn],Y      n/a           n/a            2             6/7/8/9
18       CLC              1             2              1             2
19       ORA $nnnn,Y      3             4/5            3             4/5/6
1A       INC A            1             2              1             2
*1B*     TCS              n/a           n/a            1             2
1C       TRB $nnnn        3             6              3             6/8
1D       ORA $nnnn,X      3             4/5            3             4/5/6
1E       ASL $nnnn,X      3             6/7            3             7/8
*1F*     ORA $nnnnnn,X    n/a           n/a            4             5/6
20       JSR $nnnn        3             6              3             6
21       AND ($nn,X)      2             6              2             6/7/8
*22*     JSL $nnnnnn      n/a           n/a            4             8
*23*     AND $ss,S        n/a           n/a            2             4/5
24       BIT $nn          2             3              2             3/4/5
25       AND $nn          2             3              2             3/4/5
26       ROL $nn          2             5              2             5/6/7/8
*27*     AND [$nn]        n/a           n/a            2             6/7/8
28       PLP              1             4              1             4
29       AND #$xxnn       2             2              2/3           2/3
2A       ROL A            1             2              1             2
*2B*     PLD              n/a           n/a            1             5
2C       BIT $nnnn        3             4              3             4/5
2D       AND $nnnn        3             4              3             4/5
2E       ROL $nnnn        3             6              3             6/8
*2F*     AND $nnnnnn      n/a           n/a            4             5/6
30       BMI $nnnn        2             2/3/4          2             2/3/4
31       AND ($nn),Y      2             5/6            2             5/6/7/8
32       AND ($nn)        2             5              2             5/6/7
*33*     AND ($ss,S),Y    n/a           n/a            2             7/8
34       BIT $nn,X        2             4              2             4/5/6
35       AND $nn,X        2             4              2             4/5/6
36       ROL $nn,X        2             6              2             6/7/8/9
*37*     AND [$nn],Y      n/a           n/a            2             6/7/8/9
38       SEC              1             2              1             2
39       AND $nnnn,Y      3             4/5            3             4/5/6
3A       DEC A            1             2              1             2
*3B*     TSC              n/a           n/a            1             2
3C       BIT $nnnn,X      3             4/5            3             4/5/6
3D       AND $nnnn,X      3             4/5            3             4/5/6
3E       ROL $nnnn,X      3             6/7            3             7/9
*3F*     AND $nnnnnn,X    n/a           n/a            4             5/6
40       RTI              1             6              1             6/7
41       EOR ($nn,X)      2             6              2             6/7/8
*42*     WDM              n/a           n/a            2             ???
*43*     EOR $ss,S        n/a           n/a            2             4/5
*44*     MVP $nn,$nn      n/a           n/a            3             (7 * every byte moved)
45       EOR $nn          2             3              2             3/4/5
46       LSR $nn          2             5              2             5/6/7/8
*47*     EOR [$nn]        n/a           n/a            2             6/7/8
48       PHA              1             3              1             3/4
49       EOR #$xxnn       2             2              2             2/3
4A       LSR A            1             2              1             2
*4B*     PHK              n/a           n/a            1             3
4C       JMP $nnnn        3             3              3             3
4D       EOR $nnnn        3             4              3             4/5
4E       LSR $nnnn        3             6              3             6/7
*4F*     EOR $nnnnnn      n/a           n/a            4             5/6
50       BVC $nnnn        2             2/3/4          2             2/3/4
51       EOR ($nn),Y      2             5/6            2             5/6/7/8
52       EOR ($nn)        2             5              2             5/6/7
*53*     EOR ($ss,S),Y    n/a           n/a            2             7/8
*54*     MVN $nn,$nn      n/a           n/a            3             (7 * every byte moved)
55       EOR $nn,X        2             4              2             4/5/6
56       LSR $nn,X        2             6              2             6/7/8/9
*57*     EOR [$nn],Y      n/a           n/a            2             6/7/8
58       CLI              1             2              1             2
59       EOR $nnnn,Y      3             4/5            3             4/5/6
5A       PHY              1             3              1             3/4
*5B*     TCD              n/a           n/a            1             2
*5C*     JML $nnnnnn      n/a           n/a            4             4
5D       EOR $nnnn,X      3             4/5            3             4/5/6
5E       LSR $nnnn,X      3             6/7            3             7/9
*5F*     EOR $nnnnnn,X    n/a           n/a            4             5/6
60       RTS              1             6              1             6
61       ADC ($nn,X)      2             6/7            2             6/7/8/9
*62*     PER $nnnn        n/a           n/a            3             6
*63*     ADC $ss,S        n/a           n/a            2             4/5/6
64       STZ $nn          2             3              2             3/4/5
65       ADC $nn          2             3/4            2             3/4/5/6
66       ROR $nn          2             5              2             5/6/7/8
*67*     ADC [$nn]        n/a           n/a            2             6/7/8/9
